                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  3.709,                 4.4471,                 1.8502,                0.00029,                0.02823,                0.00017,                  4e-05,                 3.2245,                 4.0871,                 1.7449,              0.0011224,              0.0011224,              0.0011224
                     36,                  3.697,                 4.4659,                 1.8256,                0.00029,                0.02823,                0.00017,                  4e-05,                 3.1996,                 4.1411,                  1.726,              0.0011059,              0.0011059,              0.0011059
                     37,                 3.6954,                 4.4492,                 1.8124,                0.00033,                 0.0121,                0.00027,                0.00011,                 3.2336,                 4.1161,                 1.7362,              0.0010894,              0.0010894,              0.0010894
                     38,                 3.6966,                 4.4555,                 1.8245,                0.00033,                 0.0121,                0.00027,                0.00011,                 3.2124,                 4.5281,                 1.7257,              0.0010729,              0.0010729,              0.0010729
                     39,                 3.6003,                 4.4709,                 1.7847,                0.00013,                0.00403,                  7e-05,                  2e-05,                 3.2257,                 4.0682,                 1.7369,              0.0010564,              0.0010564,              0.0010564
                     40,                 3.6526,                 4.4472,                 1.8346,                0.00013,                0.00403,                  7e-05,                  2e-05,                  3.221,                 4.0779,                 1.7314,              0.0010399,              0.0010399,              0.0010399
                     41,                 3.6166,                  4.433,                 1.8085,                0.00047,                0.04839,                0.00035,                  7e-05,                 3.2494,                 4.1018,                 1.7112,              0.0010234,              0.0010234,              0.0010234
                     42,                 3.6126,                 4.4346,                 1.7815,                0.00046,                0.03226,                0.00041,                  7e-05,                 3.2217,                 4.0479,                 1.7392,              0.0010069,              0.0010069,              0.0010069
                     43,                 3.5751,                 4.4641,                 1.7634,                0.00038,                0.03226,                 0.0002,                  5e-05,                 3.2438,                 4.0077,                 1.7625,             0.00099036,             0.00099036,             0.00099036
                     44,                 3.6398,                 4.4483,                 1.7972,                0.00037,                0.03629,                 0.0003,                  6e-05,                 3.1909,                  4.087,                 1.7392,             0.00097386,             0.00097386,             0.00097386
                     45,                 3.5975,                 4.4374,                 1.7921,                0.00037,                0.03629,                 0.0003,                  6e-05,                 3.2096,                 4.1364,                 1.7465,             0.00095736,             0.00095736,             0.00095736
                     46,                 3.6511,                 4.4333,                 1.7722,                0.00037,                0.03629,                 0.0003,                  6e-05,                 3.2355,                 4.0774,                 1.6975,             0.00094085,             0.00094085,             0.00094085
                     47,                  3.584,                 4.4355,                 1.7353,                0.00018,                 0.0121,                0.00012,                  2e-05,                 3.2746,                 4.1284,                 1.6979,             0.00092435,             0.00092435,             0.00092435
                     48,                 3.5711,                 4.4342,                 1.7559,                0.00044,                0.00806,                0.00026,                  6e-05,                 3.1843,                 4.1544,                 1.6699,             0.00090785,             0.00090785,             0.00090785
                     49,                 3.5755,                 4.4386,                 1.7336,                0.00019,                0.01613,                0.00015,                  3e-05,                 3.1793,                  4.144,                 1.6859,             0.00089134,             0.00089134,             0.00089134
                     50,                 3.6224,                 4.4572,                 1.7535,                0.00019,                0.01613,                0.00015,                  3e-05,                 3.2083,                 4.1161,                 1.7107,             0.00087484,             0.00087484,             0.00087484
                     51,                 3.6326,                 4.4628,                  1.759,                0.00039,                0.05242,                0.00022,                  4e-05,                 3.1879,                 4.1281,                 1.6921,             0.00085834,             0.00085834,             0.00085834
                     52,                 3.6026,                 4.4377,                 1.7205,                0.00091,                0.00403,                0.00046,                  9e-05,                 3.2285,                 4.1124,                 1.7112,             0.00084184,             0.00084184,             0.00084184
                     53,                 3.5913,                 4.3958,                 1.7304,                0.00092,                0.00806,                0.00049,                 0.0001,                 3.2174,                  4.146,                 1.6853,             0.00082533,             0.00082533,             0.00082533
                     54,                 3.5569,                 4.4282,                  1.721,                0.00216,                0.00403,                0.00116,                0.00023,                 3.2001,                 4.1571,                 1.6815,             0.00080883,             0.00080883,             0.00080883
                     55,                 3.4873,                 4.4535,                 1.7084,                0.00216,                0.00403,                0.00116,                0.00023,                 3.2541,                 4.1978,                 1.6662,             0.00079233,             0.00079233,             0.00079233
                     56,                 3.6097,                 4.4326,                 1.7355,                0.00033,                0.03629,                0.00028,                  7e-05,                 3.2334,                 4.2646,                 1.6641,             0.00077582,             0.00077582,             0.00077582
                     57,                 3.5412,                 4.4057,                  1.719,                0.00032,                0.03226,                0.00027,                  6e-05,                 3.2951,                 4.5586,                 1.7002,             0.00075932,             0.00075932,             0.00075932
                     58,                  3.578,                 4.4104,                 1.7174,                0.00034,                0.04032,                0.00032,                  7e-05,                 3.4862,                 4.1408,                 1.7184,             0.00074282,             0.00074282,             0.00074282
                     59,                 3.5563,                 4.4594,                 1.7207,                0.00031,                0.04435,                0.00022,                  5e-05,                 3.3276,                 4.1124,                 1.7284,             0.00072631,             0.00072631,             0.00072631
